Mouse_ID,Genotype,Gene,Sex,Pellets,Left_Poke,Right_Poke,Total_Pokes,Accuracy,PokesPerPellet,RetrievalTime,InterPelletInterval,PokeTime,%MealPellets,%GrazingPellets,NumMeals,AvgMealSize,AvgMealDuration,RecordingHours,MealsPerHour,Daily_Pellets,Left Poke with Pellet,Within_meal_pellet_rate,%MealPellets_Day,%GrazingPellets_Day,Pellets_Day,NumMeals_Day,AvgMealSize_Day,AvgMealDuration_Day,MealsPerHour_Day,Accuracy_Day,%MealPellets_Night,%GrazingPellets_Night,Pellets_Night,NumMeals_Night,AvgMealSize_Night,AvgMealDuration_Night,MealsPerHour_Night,Accuracy_Night,Weight
MYT1L_001_1_1,Wt,MYT1L,F,184,184,112,296,62.16216216,1.608695652,0.69,21.98636364,0.17,54.34782609,45.65217391,22,4.545454545,77.86363636,23.85722222,0.922152621,183.0108096,53,20.99828598,55.35714286,44.64285714,56,6,5.166666667,99.5,0.251496169,68.6746988,53.90625,46.09375,128,16,4.3125,69.75,1.372147315,59.62441315,19.53
MYT1L_001_1_2,Het,MYT1L,M,175,175,72,247,70.85020243,1.411428571,0.5,22.31,0.09,41.71428571,58.28571429,20,3.65,59.55,24.1475,0.828243089,171.4616196,39,21.01200663,52.45901639,47.54098361,61,9,3.555555556,65.55555556,0.37270939,67.03296703,35.96491228,64.03508772,114,11,3.727272727,54.63636364,0.922969351,73.07692308,22.31
MYT1L_001_1_3,Wt,MYT1L,M,173,173,92,265,65.28301887,1.531791908,0.69,21.87154235,0.09,64.73988439,35.26011561,15,7.466666667,135.6666667,24.50833333,0.612036722,168.7195232,7,20.85175504,68.57142857,31.42857143,70,7,6.857142857,123.4285714,0.285617137,70.70707071,62.13592233,37.86407767,103,8,8,146.375,0.711796545,62.04819277,24.56
MYT1L_001_1_4,Wt,MYT1L,F,186,186,90,276,67.39130435,1.483870968,0.56,25.345671,0.14,70.43010753,29.56989247,20,6.55,136.95,24.07833333,0.830622275,184.9468305,12,22.34655446,64.28571429,35.71428571,56,6,6,126.3333333,0.249186682,73.68421053,73.07692308,26.92307692,130,14,6.785714286,141.5,1.192306782,65,19.74
MYT1L_001_10_42,Wt,MYT1L,F,202,202,117,319,63.32288401,1.579207921,0.82,25.75074265,0.16,80.69306931,19.30693069,29,5.620689655,119.4482759,24.0475,1.205946564,200.9094153,46,24.38915642,81.15942029,18.84057971,69,10,5.6,127.5,0.415843643,47.91666667,80.45112782,19.54887218,133,19,5.631578947,115.2105263,1.598653765,76,21.56
MYT1L_001_10_44,Wt,MYT1L,M,214,214,43,257,83.26848249,1.200934579,0.5,26.77677778,0.18,73.36448598,26.63551402,25,6.28,141.72,23.61972222,1.058437511,216.0706773,13,22.92902428,78.26086957,21.73913043,69,9,6,132.1111111,0.381037504,94.59459459,69.65517241,30.34482759,145,16,6.3125,143.25,1.334414456,78.68852459,28.15
MYT1L_001_12_45,Wt,MYT1L,M,189,189,15,204,92.64705882,1.079365079,0.69,26.68818428,0.06,84.65608466,15.34391534,23,6.956521739,147.4347826,22.36861111,1.028226558,201.7270133,10,18.75914903,79.16666667,20.83333333,48,7,5.428571429,104,0.312938518,76.19047619,86.5248227,13.4751773,141,16,7.625,166.4375,1.511572981,100,26.37
MYT1L_001_12_46,Het,MYT1L,F,188,189,93,282,67.0212766,1.5,0.56,17.80869565,0.11,52.12765957,47.87234043,23,4.260869565,57.73913043,23.65333333,0.972378805,186.2709571,21,15.21713745,36.36363636,63.63636364,44,4,4,73,0.169109357,60,56.94444444,43.05555556,144,19,4.315789474,54.52631579,1.590401786,69.56521739,18.53
MYT1L_001_12_47,Het,MYT1L,M,195,195,45,240,81.25,1.230769231,0.56,27.89266667,0.14,66.66666667,33.33333333,25,5.2,116.36,24.5375,1.018848701,190.4761905,24,25.08386833,68.83116883,31.16883117,77,10,5.3,123.4,0.40753948,88.50574713,65.25423729,34.74576271,118,15,5.133333333,111.6666667,1.296020736,77.12418301,21.68
MYT1L_001_12_48,Wt,MYT1L,F,137,137,109,246,55.69105691,1.795620438,1.51,23.63666667,0.135,60.58394161,39.41605839,20,4.15,74,22.47277778,0.889965637,145.6693495,42,20.68536542,59.09090909,40.90909091,44,6,4.333333333,83,0.266989691,67.69230769,61.29032258,38.70967742,93,14,4.071428571,70.14285714,1.236840168,51.38121547,19.31
