MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/21/2026 17:16:21,1.17.3,StopSig,45,4.20,nan,1,Right_no_left,Left,0,1,0,0,nan,nan,nan
8/21/2026 17:17:32,1.17.3,StopSig,45,4.19,nan,1,>Left_Regular_trial,Left,1,1,0,593157,nan,nan,nan
8/21/2026 17:17:36,1.17.3,StopSig,45,4.19,nan,1,NoPoke_Regular_(incorrect),Left,1,1,0,596875,nan,nan,nan
8/21/2026 17:18:41,1.17.3,StopSig,45,4.19,nan,1,Right_no_left,Left,1,2,0,596875,nan,nan,nan
8/21/2026 17:19:51,1.17.3,StopSig,45,4.19,nan,1,>Left_Regular_trial,Left,2,2,0,732381,nan,nan,nan
8/21/2026 17:19:55,1.17.3,StopSig,45,4.20,nan,1,NoPoke_Regular_(incorrect),Left,2,2,0,735793,nan,nan,nan
8/21/2026 17:23:49,1.17.3,StopSig,45,4.19,nan,1,Right_no_left,Left,2,3,0,735793,nan,nan,nan
8/21/2026 17:28:55,1.17.3,StopSig,45,4.19,nan,1,>Left_Regular_trial,Left,3,3,0,1276259,nan,nan,nan
8/21/2026 17:28:59,1.17.3,StopSig,45,4.19,nan,1,NoPoke_Regular_(incorrect),Left,3,3,0,1279959,nan,nan,nan
8/21/2026 17:37:48,1.17.3,StopSig,45,4.19,nan,1,>Left_Regular_trial,Left,4,3,0,1809638,nan,nan,nan
8/21/2026 17:37:52,1.17.3,StopSig,45,4.19,nan,1,NoPoke_Regular_(incorrect),Left,4,3,0,1813223,nan,nan,nan
8/21/2026 17:49:29,1.17.3,StopSig,45,4.19,nan,1,>Left_Regular_trial,Left,5,3,0,2510371,nan,nan,nan
8/21/2026 17:49:33,1.17.3,StopSig,45,4.19,nan,1,NoPoke_Regular_(incorrect),Left,5,3,0,2514394,nan,nan,nan
8/21/2026 17:50:03,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,5,4,0,2514394,nan,nan,nan
8/21/2026 17:50:04,1.17.3,StopSig,45,4.19,nan,1,Right_no_left,Left,5,5,0,2545290,nan,nan,nan
8/21/2026 17:50:06,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,5,6,0,2545774,nan,nan,nan
8/21/2026 17:54:41,1.17.3,StopSig,45,4.19,nan,1,Right_no_left,Left,5,7,0,2547426,nan,nan,nan
8/21/2026 17:54:56,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,5,8,0,2823281,nan,nan,nan
8/21/2026 17:54:59,1.17.3,StopSig,45,4.18,nan,1,>Left_Regular_trial,Left,6,8,0,2840126,nan,nan,nan
8/21/2026 17:55:02,1.17.3,StopSig,45,4.19,nan,1,NoPoke_Regular_(incorrect),Left,6,8,0,2843538,nan,nan,nan
8/21/2026 17:55:38,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,6,9,0,2843538,nan,nan,nan
8/21/2026 17:55:41,1.17.3,StopSig,45,4.18,nan,1,>Left_Regular_trial,Left,7,9,0,2883050,nan,nan,nan
8/21/2026 17:55:42,1.17.3,StopSig,45,4.19,nan,1,Right_Regular_(correct),Left,7,10,0,2884118,nan,nan,nan
8/21/2026 17:56:15,1.17.3,StopSig,45,4.18,11,1,Pellet,Left,7,10,1,2884118,2.27,nan,nan
8/21/2026 17:57:07,1.17.3,StopSig,45,4.19,nan,1,Right_no_left,Left,7,11,1,2884118,nan,nan,nan
8/21/2026 18:05:52,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,7,12,1,2969371,nan,nan,nan
8/21/2026 18:05:55,1.17.3,StopSig,45,4.19,nan,1,>Left_Regular_trial,Left,8,12,1,3497161,nan,nan,nan
8/21/2026 18:05:56,1.17.3,StopSig,45,4.18,nan,1,Right_Regular_(correct),Left,8,13,1,3498084,nan,nan,nan
8/21/2026 18:06:17,1.17.3,StopSig,45,4.18,10,1,Pellet,Left,8,13,2,3498084,0.89,602,nan
8/21/2026 18:06:39,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,8,14,2,3498084,nan,nan,nan
8/21/2026 18:06:47,1.17.3,StopSig,45,4.18,nan,1,>Left_Regular_trial,Left,9,14,2,3549270,nan,nan,nan
8/21/2026 18:06:50,1.17.3,StopSig,45,4.19,nan,1,Right_Regular_(correct),Left,9,15,2,3551807,nan,nan,nan
8/21/2026 18:06:50,1.17.3,StopSig,45,4.11,nan,1,RightDuringDispense,Left,9,16,2,3551807,nan,nan,0.08
8/21/2026 18:06:59,1.17.3,StopSig,45,4.18,4,1,Pellet,Left,9,16,3,3551807,1.01,41,nan
8/21/2026 18:08:56,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,9,17,3,3551807,nan,nan,nan
8/21/2026 18:08:58,1.17.3,StopSig,45,4.19,nan,1,Right_no_left,Left,9,18,3,3678660,nan,nan,nan
8/21/2026 18:09:02,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,9,19,3,3679729,nan,nan,nan
8/21/2026 18:15:04,1.17.3,StopSig,45,4.18,nan,1,>Left_Regular_trial,Left,10,19,3,4045533,nan,nan,nan
8/21/2026 18:15:05,1.17.3,StopSig,45,4.18,nan,1,Right_Regular_(correct),Left,10,20,3,4047189,nan,nan,nan
8/21/2026 18:15:11,1.17.3,StopSig,45,4.18,3,1,Pellet,Left,10,20,4,4047189,0.47,493,nan
8/21/2026 18:15:33,1.17.3,StopSig,45,4.18,nan,1,>Left_Regular_trial,Left,11,20,4,4075016,nan,nan,nan
8/21/2026 18:15:37,1.17.3,StopSig,45,4.18,nan,1,NoPoke_Regular_(incorrect),Left,11,20,4,4078877,nan,nan,nan
8/21/2026 18:16:12,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,11,21,4,4078877,nan,nan,nan
8/21/2026 18:16:13,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,11,22,4,4114279,nan,nan,nan
8/21/2026 18:16:16,1.17.3,StopSig,45,4.18,nan,1,>Left_Regular_trial,Left,12,22,4,4118423,nan,nan,nan
8/21/2026 18:16:19,1.17.3,StopSig,45,4.18,nan,1,Right_Regular_(correct),Left,12,23,4,4120815,nan,nan,nan
8/21/2026 18:16:24,1.17.3,StopSig,45,4.18,2,1,Pellet,Left,12,23,5,4120815,2.45,73,nan
8/21/2026 18:19:58,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,12,24,5,4120815,nan,nan,nan
8/21/2026 18:20:00,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,12,25,5,4340097,nan,nan,nan
8/21/2026 18:20:03,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,12,26,5,4342780,nan,nan,nan
8/21/2026 18:20:06,1.17.3,StopSig,45,4.18,nan,1,>Left_Regular_trial,Left,13,26,5,4348257,nan,nan,nan
8/21/2026 18:20:07,1.17.3,StopSig,45,4.18,nan,1,Right_Regular_(correct),Left,13,27,5,4349328,nan,nan,nan
8/21/2026 18:20:11,1.17.3,StopSig,45,4.18,3,1,Pellet,Left,13,27,6,4349328,0.06,226,nan
8/21/2026 18:23:43,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,13,28,6,4349328,nan,nan,nan
8/21/2026 18:23:44,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,13,29,6,4565524,nan,nan,nan
8/21/2026 18:23:48,1.17.3,StopSig,45,4.18,nan,1,>Left_Regular_trial,Left,14,29,6,4570116,nan,nan,nan
8/21/2026 18:23:49,1.17.3,StopSig,45,4.18,nan,1,Right_Regular_(correct),Left,14,30,6,4571191,nan,nan,nan
8/21/2026 18:24:09,1.17.3,StopSig,45,4.18,3,1,Pellet,Left,14,30,7,4571191,15.29,239,nan
8/21/2026 18:36:40,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,14,31,7,4571191,nan,nan,nan
8/21/2026 18:37:44,1.17.3,StopSig,45,4.18,nan,1,Right_no_left,Left,14,32,7,5343103,nan,nan,nan
