Mouse_ID,Gene,Gene_ID,Sex,Genotype,FED3,BEAM,DOB,FED_StartDate,Weight1_Friday,Weight2_Monday,Weight3_Friday,Weight4_Monday,Weight5_Friday,Weight6_SI,Stim_Partner,Stim_Weight,Bandit100_EX,Bandit80_EX,FR1_EX,PR1_EX,BEAM_EX
MYT1L_001_12_46,MYT1L,1,F,Het,9,9,12/12/2024 0:00,3/3/2025 0:00,18.08,,18.53,17.77,19.32,18.22,G-3,20.66,,,,,
MYT1L_001_12_51,MYT1L,1,F,Het,10,10,12/12/2024 0:00,3/3/2025 0:00,17.48,,18.9,17.59,18.35,17.35,E-3,18.94,,,,,
MYT1L_001_2_5,MYT1L,1,F,Het,4,4,12/12/2024 0:00,3/3/2025 0:00,18.25,,18.67,17.89,18.27,18.49,F-1,19,,,,,Low avg activity (4.68%)
MYT1L_001_2_8,MYT1L,1,F,Het,5,5,12/12/2024 0:00,3/3/2025 0:00,18.34,,19.09,18.6,18.79,18.6,F-2,19.57,,Device 005: 'Pellet_Count' stayed at 4 for >8 hrs starting 2025-03-10 16:21:42,,,
MYT1L_001_5_24,MYT1L,1,F,Het,2,2,12/13/2024 0:00,3/3/2025 0:00,18.51,,18.96,18.32,19.23,19.19,E-4,20.41,,,,,
MYT1L_001_5_28,MYT1L,1,F,Het,3,3,12/13/2024 0:00,3/3/2025 0:00,18.33,,18.25,17.61,18.7,18.26,E-2,22.04,,,,,
MYT1L_001_8_39,MYT1L,1,F,Het,8,8,12/13/2024 0:00,3/3/2025 0:00,17.78,,19.07,17.92,18.79,18.28,F-3,20.36,,,,,
MYT1L_001_9_12,MYT1L,1,F,Het,6,42,12/12/2024 0:00,3/3/2025 0:00,19.56,,19.64,19.06,19.4,19.59,E-5,18.98,,,,,
MYT1L_001_9_13,MYT1L,1,F,Het,7,7,12/12/2024 0:00,3/3/2025 0:00,19.02,,19.63,18.95,19.32,19.58,F-3,20.36,,,,Device 007: 'Pellet_Count' stayed at 50 for >8 hrs starting 2025-03-13 02:36:41,
MYT1L_001_9_14,MYT1L,1,F,Het,1,1,12/12/2024 0:00,3/3/2025 0:00,18.95,,19.04,18.28,19.41,18.5,E-1,20.31,,,,,
MYT1L_001_1_2,MYT1L,1,M,Het,23,23,12/12/2024 0:00,3/3/2025 0:00,21.91,,22.31,21.75,23.84,22.45,D-1,27.52,,,,,
MYT1L_001_12_47,MYT1L,1,M,Het,29,8,12/12/2024 0:00,3/3/2025 0:00,20.26,,21.68,20.7,21.13,20.57,A-3,26.44,,,,,
MYT1L_001_12_52,MYT1L,1,M,Het,30,5,12/12/2024 0:00,3/3/2025 0:00,24.56,,25.33,23.46,24.3,23.63,C-1,25.45,,,,,
MYT1L_001_2_10,MYT1L,1,M,Het,21,2,12/12/2024 0:00,3/3/2025 0:00,24.84,,25.22,24.05,24.54,23.83,A-1,27.08,,,,,
MYT1L_001_3_18,MYT1L,1,M,Het,22,22,12/13/2024 0:00,3/3/2025 0:00,26.79,,26.58,25.51,25.63,26.06,C-3,26.18,,,,,
