MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/18/2026 9:02:31,1.17.3,LeftRight,62,4.14,nan,1,Left,Left,1,0,0,73201524,nan,nan,0.00
8/18/2026 9:02:32,1.17.3,LeftRight,62,4.14,nan,1,Right,Left,1,1,0,73201863,nan,nan,0.44
8/18/2026 9:58:13,1.17.3,LeftRight,62,4.13,nan,1,LeftWithPellet,Left,2,1,0,73201863,nan,nan,0.30
8/18/2026 18:32:04,1.17.3,LeftRight,62,4.09,nan,1,LeftWithPellet,Left,3,1,0,73201863,nan,nan,0.13
8/18/2026 18:32:17,1.17.3,LeftRight,62,4.09,nan,1,RightWithPellet,Left,3,2,0,73201863,nan,nan,0.11
8/18/2026 18:32:17,1.17.3,LeftRight,62,4.09,nan,1,RightWithPellet,Left,3,3,0,73201863,nan,nan,0.06
8/18/2026 18:32:50,1.17.3,LeftRight,62,4.09,nan,1,LeftWithPellet,Left,4,3,0,73201863,nan,nan,0.24
8/18/2026 18:33:51,1.17.3,LeftRight,62,4.09,nan,1,LeftWithPellet,Left,5,3,0,73201863,nan,nan,0.03
8/18/2026 18:33:52,1.17.3,LeftRight,62,4.09,nan,1,LeftWithPellet,Left,6,3,0,73201863,nan,nan,0.56
8/18/2026 18:36:12,1.17.3,LeftRight,62,4.09,nan,1,RightWithPellet,Left,6,4,0,73201863,nan,nan,0.13
8/18/2026 18:37:01,1.17.3,LeftRight,62,4.09,1,1,Pellet,Left,6,4,1,73201863,Timed_out,nan,nan
8/18/2026 18:37:24,1.17.3,LeftRight,62,4.09,nan,1,Left,Left,7,4,1,107695566,nan,nan,0.00
8/18/2026 18:38:23,1.17.3,LeftRight,62,4.09,nan,1,RESET,Left,7,4,1,107754690,nan,nan,nan
8/18/2026 18:46:07,1.17.3,LeftRight,62,4.09,nan,1,Left,Left,8,4,1,108218599,nan,nan,0.00
8/18/2026 18:46:51,1.17.3,LeftRight,62,4.08,nan,1,Right,Left,8,5,1,108262733,nan,nan,0.00
8/18/2026 18:46:51,1.17.3,LeftRight,62,4.09,nan,1,RightDuringDispense,Left,8,6,1,108262733,nan,nan,0.05
8/18/2026 18:46:52,1.17.3,LeftRight,62,4.04,nan,1,RightDuringDispense,Left,8,7,1,108262733,nan,nan,0.07
8/18/2026 18:47:47,1.17.3,LeftRight,62,4.09,nan,1,RightWithPellet,Left,8,8,1,108262733,nan,nan,0.04
8/18/2026 18:47:48,1.17.3,LeftRight,62,4.08,nan,1,RightWithPellet,Left,8,9,1,108262733,nan,nan,0.01
8/18/2026 18:47:52,1.17.3,LeftRight,62,4.09,nan,1,RightWithPellet,Left,8,10,1,108262733,nan,nan,0.04
8/18/2026 19:02:19,1.17.3,LeftRight,62,4.09,nan,1,RightWithPellet,Left,8,11,1,108262733,nan,nan,0.29
8/18/2026 19:03:50,1.17.3,LeftRight,62,4.08,nan,1,LeftWithPellet,Left,9,11,1,108262733,nan,nan,0.09
8/18/2026 19:05:02,1.17.3,LeftRight,62,4.08,nan,1,RightWithPellet,Left,9,12,1,108262733,nan,nan,0.05
